bidPrice,customerId,productId
2001,26,31
2002,27,31
2003,28,31
2004,29,31
2005,30,31
2006,31,31
2007,32,31
2008,33,31
2009,34,31
2010,35,31
2011,36,31
2012,37,31
2013,38,31
2014,39,31
2015,40,31
2016,41,31
2017,42,31
2018,43,31
2019,44,31
2020,45,31
2021,46,31
2022,47,31
2023,48,31
2024,49,31
2025,50,31
2026,51,31
2027,52,31
2028,53,31
2029,54,31
2030,55,31
2031,56,31
2032,57,31
2033,58,31
2034,59,31
2035,60,31
2036,61,31
2037,62,31
2038,63,31
2039,64,31
2040,65,31
2041,66,31
2042,67,31
2043,68,31
2044,69,31
2045,70,31
2046,71,31
2047,72,31
2048,73,31
2049,74,31
2050,75,31
2051,76,31
2052,77,31
2053,78,31
2054,79,31
2055,80,31
2056,81,31
2057,82,31
2058,83,31
2059,84,31
2060,85,31
2061,86,31
2062,87,31
2063,88,31
2064,89,31
2065,90,31
2066,91,31
2067,92,31
2068,93,31
2069,94,31
2070,95,31
2071,96,31
2072,97,31
2073,98,31
2074,99,31
2075,100,31
2076,101,31
2077,102,31
2078,103,31
2079,104,31
2080,105,31
2081,106,31
2082,107,31
2083,108,31
2084,109,31
2085,110,31
2086,111,31
2087,112,31
2088,113,31
2089,114,31
2090,115,31
2091,116,31
2092,117,31
2093,118,31
2094,119,31
2095,120,31
2096,121,31
2097,122,31
2098,123,31
2099,120,31
2100,120,31
2101,120,31
2102,120,31
2103,120,31
2104,120,31
2105,120,31
2106,120,31
2107,120,31
2108,120,31
2109,120,31
2110,120,31
2111,120,31
2112,120,31
2113,120,31
2114,120,31
2115,120,31
2116,120,31
2117,120,31
2118,120,31
2119,120,31
2120,120,31
2121,120,31
2122,120,31
2123,120,31
2124,120,31
2125,120,31
2126,120,31
2127,120,31
2128,120,31
2129,120,31
2130,120,31
2131,120,31
2132,120,31
2133,120,31
2134,120,31
2135,120,31
2136,120,31
2137,120,31
2138,120,31
2139,120,31
2140,120,31
2141,120,31
2142,120,31
2143,120,31
2144,120,31
2145,120,31
2146,120,31
2147,120,31
2148,120,31
2149,120,31
2150,120,31
2151,120,31
2152,120,31
2153,120,31
2154,120,31
2155,120,31
2156,120,31
2157,120,31
2158,120,31
2159,120,31
2160,120,31
2161,120,31
2162,120,31
2163,120,31
2164,120,31
2165,120,31
2166,120,31
2167,120,31
2168,120,31
2169,120,31
2170,120,31
